image_idx,ring_idx,B_g,r_guess,mu_left,mu_center,mu_right,fsr_local,frac_shift,delta_wn_cm_inv,model,success,note
3,14,8050.000000000001,557.8674810494872,552.8392334159101,558.3942612306095,564.6789819734335,50462.44390000019,0.1310988297047376,0.0808254190534757,triplet,True,ok
4,14,9300.0,541.0353661384461,538.8768956179971,548.2382079771799,553.0426876415495,47803.8667725001,0.16178508944172765,0.09974419817615761,triplet,True,ok
0,15,6000.0,598.4479493865779,595.3670876345803,599.0020405199444,605.6785265986606,50630.48988799995,0.1223028709739745,0.07540250984831967,triplet,True,ok
1,15,6700.0,601.7941315415202,590.4602970143552,599.8221738464799,603.2455967824012,51959.91482500004,0.1468621314957556,0.09054385418973834,triplet,True,ok
2,15,7300.0,592.8701820913243,579.9530166886523,593.0627255785054,603.3084985831167,50763.577919999894,0.2721995181259522,0.1678172121614995,triplet,True,ok
3,15,8050.000000000001,601.3971818295295,586.3579384629345,597.3274545735674,603.5603543875585,50713.548883999756,0.20181460221561145,0.1244233059282438,triplet,True,ok
4,15,9300.0,583.5436009288959,577.5603483174447,583.3064554889114,596.2911702925435,52009.37564549991,0.21137730983495756,0.13031893331378394,triplet,True,ok
0,16,6000.0,639.3515762184371,631.2189892277129,640.5128545339446,648.6067831714222,50190.175912000064,0.22169026517602017,0.13667710553392118,triplet,True,ok
1,16,6700.0,643.5185246617323,632.4505913339165,642.9100598392502,649.3308034038746,50428.16993750003,0.2145303091240168,0.13226282929964042,triplet,True,ok
2,16,7300.0,634.2386228644547,623.9716696620468,634.9168266788354,640.3414379313327,49800.41810400004,0.2077945665827856,0.12811009037163107,triplet,True,ok
3,16,8050.000000000001,642.1776383497793,628.5976431822991,635.8800526489198,644.3294126674467,50915.524632000015,0.1966531343708286,0.12124114326191651,triplet,True,ok
4,16,9300.0,626.5241494392394,618.8637652428409,625.5806324398429,637.6954160716111,50030.20766750007,0.23648796248721937,0.14580022348163954,triplet,True,ok
