image_idx,ring_idx,B_g,r_guess,mu_left,mu_center,mu_right,fsr_local,frac_shift,delta_wn_cm_inv,model,success,note
3,13,8050.000000000001,509.2974991264929,491.4274114378441,509.1591436511584,511.1313560514239,51832.18379599991,0.19056077691243106,0.11748506591395255,triplet,True,ok
4,13,9300.0,491.44242554958817,488.49072558124124,498.6826416513613,504.5915393024765,51203.60978249987,0.15613579418203405,0.09626127878053886,triplet,True,ok
0,14,5970.0,554.2906249658206,541.1184162319416,554.476621104253,566.8657282098867,50901.85120000009,0.28022176758829004,0.17276311195332306,triplet,True,ok
1,14,6150.0,558.6942089777847,543.1838651109215,558.8757416223992,559.5024227481782,50016.957612499944,0.17988149023026942,0.11090104206551751,triplet,True,ok
2,14,7350.0,548.248043729296,542.3576229095166,548.3884257748298,559.488520307861,50919.135360000015,0.18534891740371387,0.11427183563730817,triplet,True,ok
3,14,8050.000000000001,557.8674810494872,552.8392346274652,558.3942610719963,564.6789817939174,50462.44390000019,0.13109881442279625,0.08082540963181026,triplet,True,ok
4,14,9300.0,541.0353661384461,538.8768921985386,548.2381726864926,553.0426712955885,47803.8667725001,0.16178493888179715,0.09974410535252598,triplet,True,ok
0,15,5970.0,598.4479493865779,595.3670874481357,599.0020407245873,605.6785271154322,50630.48988799995,0.1223028793483836,0.07540251501133391,triplet,True,ok
1,15,6150.0,601.7941315415202,590.4602985372483,599.8221733191401,603.2455973452371,51959.91482500004,0.14686212072438284,0.09054384754894133,triplet,True,ok
2,15,7350.0,592.8701820913243,579.9530172335977,593.0627260802377,603.3085165187653,50763.577919999894,0.272199725059486,0.1678173397407435,triplet,True,ok
3,15,8050.000000000001,601.3971818295295,586.3579399224436,597.3274510168291,603.5603535480851,50713.548883999756,0.20181457534966238,0.12442328936477334,triplet,True,ok
4,15,9300.0,583.5436009288959,577.5603985172964,583.3064588978085,596.2911706130053,52009.37564549991,0.21137675604333422,0.13031859188861541,triplet,True,ok
0,16,5970.0,639.3515762184371,631.2173954369418,640.5125536297768,648.6071181796563,50190.175912000064,0.22171463883832265,0.13669213245272666,triplet,True,ok
1,16,6150.0,643.5185246617323,632.450592754587,642.9100603564096,649.3308041197957,50428.16993750003,0.21453030052496852,0.13226282399813102,triplet,True,ok
2,16,7350.0,634.2386228644547,623.971693107202,634.9168288583667,640.3433866465193,49800.41810400004,0.2078193297457768,0.12812535742649617,triplet,True,ok
3,16,8050.000000000001,642.1776383497793,628.5976415827009,635.8800499514663,644.3294116630261,50915.524632000015,0.19665314140848356,0.12124114760079133,triplet,True,ok
4,16,9300.0,626.5241494392394,618.8636588987537,625.5806332948335,637.6954143161128,50030.20766750007,0.2364892555664679,0.14580102069449316,triplet,True,ok
0,17,5970.0,677.4663194026697,668.5892987225459,678.3096527279723,686.1189758718394,51101.915351999865,0.23235527006706103,0.14325232433234342,triplet,True,ok
1,17,6150.0,681.5748392658818,673.8143764083537,682.5642102712583,689.5427598066249,50688.436224999896,0.21152165409062418,0.13040792484008887,triplet,True,ok
