Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,ON
Ref Level,+1.000000000E+01
Attenuation,50.000000,Auto
Sweep Time,27932.000000,Auto
Start Frequency,+1.850000000E+05
Stop Frequency,+1.980000000E+05
Average Type,Log Pwr
RBW,100.000000,Auto
VBW,100.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,192000.00000000,,,,,,,
Marker Ampt,-77.15904698,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
1.927827e+05,-7.789725e+01
1.928000e+05,-7.780276e+01
1.928173e+05,-7.773950e+01
1.928347e+05,-7.784197e+01
1.928520e+05,-7.801991e+01
1.928693e+05,-7.819214e+01
1.928867e+05,-7.827679e+01
1.929040e+05,-7.814390e+01
1.929213e+05,-7.804439e+01
1.929387e+05,-7.808473e+01
1.929560e+05,-7.809604e+01
1.929733e+05,-7.805978e+01
1.929907e+05,-7.807864e+01
1.930080e+05,-7.814197e+01
1.930253e+05,-7.799013e+01
1.930427e+05,-7.771563e+01
1.930600e+05,-7.746189e+01
1.930773e+05,-7.726622e+01
1.930947e+05,-7.749055e+01
1.931120e+05,-7.786013e+01
1.931293e+05,-7.805213e+01
1.931467e+05,-7.814096e+01
1.931640e+05,-7.805521e+01
1.931813e+05,-7.800163e+01
1.931987e+05,-7.809432e+01
1.932160e+05,-7.824109e+01
1.932333e+05,-7.843509e+01
1.932507e+05,-7.841031e+01
1.932680e+05,-7.818239e+01
1.932853e+05,-7.811488e+01
1.933027e+05,-7.811491e+01
1.933200e+05,-7.821218e+01
1.933373e+05,-7.835336e+01
1.933547e+05,-7.833156e+01
1.933720e+05,-7.826842e+01
1.933893e+05,-7.828418e+01
1.934067e+05,-7.827432e+01
1.934240e+05,-7.815771e+01
1.934413e+05,-7.805354e+01
1.934587e+05,-7.802469e+01
1.934760e+05,-7.806651e+01
1.934933e+05,-7.818799e+01
1.935107e+05,-7.820445e+01
