Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,ON
Ref Level,+1.000000000E+01
Attenuation,50.000000,Auto
Sweep Time,27932.000000,Auto
Start Frequency,+1.850000000E+05
Stop Frequency,+1.980000000E+05
Average Type,Log Pwr
RBW,100.000000,Auto
VBW,100.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,192000.00000000,,,,,,,
Marker Ampt,-77.26250930,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
1.931293e+05,-7.771037e+01
1.931467e+05,-7.759817e+01
1.931640e+05,-7.778079e+01
1.931813e+05,-7.795795e+01
1.931987e+05,-7.798638e+01
1.932160e+05,-7.798694e+01
1.932333e+05,-7.796947e+01
1.932507e+05,-7.808544e+01
1.932680e+05,-7.832563e+01
1.932853e+05,-7.833828e+01
1.933027e+05,-7.822366e+01
1.933200e+05,-7.804605e+01
1.933373e+05,-7.782218e+01
1.933547e+05,-7.773193e+01
1.933720e+05,-7.770889e+01
1.933893e+05,-7.774909e+01
1.934067e+05,-7.786694e+01
1.934240e+05,-7.808075e+01
1.934413e+05,-7.816973e+01
1.934587e+05,-7.797295e+01
1.934760e+05,-7.782652e+01
1.934933e+05,-7.780863e+01
1.935107e+05,-7.762836e+01
1.935280e+05,-7.728691e+01
1.935453e+05,-7.719005e+01
1.935627e+05,-7.723806e+01
1.935800e+05,-7.729781e+01
1.935973e+05,-7.739723e+01
1.936147e+05,-7.746756e+01
1.936320e+05,-7.749924e+01
1.936493e+05,-7.739488e+01
1.936667e+05,-7.726704e+01
1.936840e+05,-7.723537e+01
1.937013e+05,-7.727064e+01
1.937187e+05,-7.739256e+01
1.937360e+05,-7.753998e+01
1.937533e+05,-7.769309e+01
1.937707e+05,-7.782458e+01
1.937880e+05,-7.793240e+01
1.938053e+05,-7.814298e+01
1.938227e+05,-7.840933e+01
1.938400e+05,-7.819415e+01
1.938573e+05,-7.773396e+01
1.938747e+05,-7.747023e+01
1.938920e+05,-7.727349e+01
1.939093e+05,-7.722227e+01
1.939267e+05,-7.732931e+01
1.939440e+05,-7.767118e+01
1.939613e+05,-7.811424e+01
1.939787e+05,-7.855875e+01
1.939960e+05,-7.881460e+01
1.940133e+05,-7.876979e+01
1.940307e+05,-7.862300e+01
1.940480e+05,-7.838801e+01
1.940653e+05,-7.834061e+01
1.940827e+05,-7.842526e+01
1.941000e+05,-7.826654e+01
1.941173e+05,-7.799849e+01
1.941347e+05,-7.779412e+01
1.941520e+05,-7.760679e+01
1.941693e+05,-7.748266e+01
1.941867e+05,-7.749448e+01
1.942040e+05,-7.782322e+01
1.942213e+05,-7.814054e+01
1.942387e+05,-7.816381e+01
1.942560e+05,-7.806948e+01
1.942733e+05,-7.788115e+01
1.942907e+05,-7.778846e+01
1.943080e+05,-7.782614e+01
1.943253e+05,-7.766141e+01
1.943427e+05,-7.732979e+01
1.943600e+05,-7.721087e+01
1.943773e+05,-7.718721e+01
1.943947e+05,-7.718537e+01
1.944120e+05,-7.724758e+01
1.944293e+05,-7.744726e+01
1.944467e+05,-7.765311e+01
1.944640e+05,-7.762988e+01
1.944813e+05,-7.749518e+01
1.944987e+05,-7.727698e+01
1.945160e+05,-7.703042e+01
1.945333e+05,-7.679959e+01
1.945507e+05,-7.672418e+01
1.945680e+05,-7.684304e+01
1.945853e+05,-7.701295e+01
1.946027e+05,-7.724054e+01
1.946200e+05,-7.737655e+01
1.946373e+05,-7.746140e+01
1.946547e+05,-7.743053e+01
1.946720e+05,-7.733993e+01
1.946893e+05,-7.735437e+01
1.947067e+05,-7.740584e+01
1.947240e+05,-7.747277e+01
1.947413e+05,-7.750513e+01
1.947587e+05,-7.742004e+01
1.947760e+05,-7.731825e+01
1.947933e+05,-7.724749e+01
1.948107e+05,-7.707000e+01
1.948280e+05,-7.675135e+01
1.948453e+05,-7.663872e+01
1.948627e+05,-7.672914e+01
1.948800e+05,-7.685966e+01
1.948973e+05,-7.705467e+01
1.949147e+05,-7.721409e+01
1.949320e+05,-7.732945e+01
1.949493e+05,-7.716685e+01
1.949667e+05,-7.690736e+01
1.949840e+05,-7.683039e+01
1.950013e+05,-7.684218e+01
1.950187e+05,-7.696650e+01
1.950360e+05,-7.716257e+01
1.950533e+05,-7.740427e+01
1.950707e+05,-7.760804e+01
1.950880e+05,-7.773688e+01
1.951053e+05,-7.773817e+01
1.951227e+05,-7.760833e+01
1.951400e+05,-7.742694e+01
1.951573e+05,-7.719214e+01
1.951747e+05,-7.717850e+01
1.951920e+05,-7.727360e+01
1.952093e+05,-7.732188e+01
1.952267e+05,-7.737706e+01
1.952440e+05,-7.743755e+01
1.952613e+05,-7.745118e+01
1.952787e+05,-7.732400e+01
1.952960e+05,-7.724395e+01
1.953133e+05,-7.735558e+01
1.953307e+05,-7.740436e+01
1.953480e+05,-7.730551e+01
1.953653e+05,-7.730427e+01
