Model,MSO2024
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-07,,,
Filter Frequency,2e+08,,,
Record Length,1.25e+06,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH4,CH4 Peak Detect
8.837440e-03,-1,-1.08,0.7,0.7
8.837600e-03,-1,-0.92,0.7,0.74
8.837760e-03,-1,-1.08,0.74,0.7
8.837920e-03,-1,-0.92,0.74,0.74
8.838080e-03,-1,-1.08,0.74,0.7
8.838240e-03,-1,-0.92,0.74,0.74
8.838400e-03,-1,-1.08,0.7,0.7
8.838560e-03,-1,-0.92,0.7,0.74
8.838720e-03,-1,-1,0.7,0.7
8.838880e-03,-1,-0.92,0.7,0.74
8.839040e-03,-1,-1,0.7,0.7
8.839200e-03,-1,-0.92,0.74,0.74
8.839360e-03,-1,-1.08,0.74,0.7
8.839520e-03,-1,-0.92,0.7,0.74
8.839680e-03,-1,-1.08,0.7,0.7
8.839840e-03,-1,-0.92,0.74,0.74
8.840000e-03,-1,-1.08,0.7,0.7
8.840160e-03,-1,-0.92,0.7,0.74
8.840320e-03,-1,-1.08,0.7,0.7
8.840480e-03,-1,-0.92,0.7,0.74
8.840640e-03,-1,-1.08,0.74,0.7
8.840800e-03,-1,-0.92,0.7,0.74
8.840960e-03,-1,-1,0.7,0.7
8.841120e-03,-1,-0.92,0.74,0.74
8.841280e-03,-1,-1.08,0.74,0.7
8.841440e-03,-1,-0.92,0.74,0.74
8.841600e-03,-1,-1.08,0.7,0.7
8.841760e-03,-1,-0.92,0.74,0.74
8.841920e-03,-1,-1,0.7,0.7
8.842080e-03,-1,-0.92,0.7,0.74
8.842240e-03,-1,-1.08,0.7,0.7
8.842400e-03,-1,-0.92,0.7,0.74
8.842560e-03,-1,-1.08,0.74,0.7
8.842720e-03,-1,-0.92,0.7,0.74
8.842880e-03,-1,-1.08,0.7,0.7
8.843040e-03,-1,-0.92,0.74,0.74
8.843200e-03,-1,-1.08,0.7,0.7
8.843360e-03,-1,-0.92,0.7,0.74
8.843520e-03,-1,-1.08,0.7,0.7
8.843680e-03,-1,-0.92,0.7,0.74
8.843840e-03,-1,-1.08,0.74,0.7
8.844000e-03,-1,-0.92,0.7,0.74
8.844160e-03,-1,-1.08,0.7,0.7
8.844320e-03,-1,-0.92,0.7,0.74
8.844480e-03,-1,-1.08,0.74,0.7
8.844640e-03,-1,-0.92,0.7,0.74
8.844800e-03,-1,-1.08,0.7,0.7
8.844960e-03,-1,-0.92,0.7,0.74
8.845120e-03,-1,-1.08,0.7,0.7
8.845280e-03,-1,-0.92,0.74,0.74
8.845440e-03,-1,-1.08,0.7,0.7
8.845600e-03,-1,-0.92,0.7,0.74
8.845760e-03,-1,-1.08,0.74,0.7
8.845920e-03,-1,-0.92,0.7,0.74
8.846080e-03,-1,-1.08,0.74,0.7
8.846240e-03,-1,-0.92,0.7,0.74
8.846400e-03,-1,-1.08,0.7,0.7
8.846560e-03,-1,-0.92,0.7,0.74
8.846720e-03,-1,-1.08,0.7,0.7
8.846880e-03,-1,-0.92,0.7,0.74
8.847040e-03,-1,-1.08,0.7,0.7
8.847200e-03,-1,-0.92,0.7,0.74
8.847360e-03,-1,-1.08,0.7,0.7
8.847520e-03,-1,-0.92,0.74,0.74
8.847680e-03,-1,-1.08,0.7,0.7
8.847840e-03,-1,-0.92,0.7,0.74
8.848000e-03,-1,-1.08,0.7,0.66
8.848160e-03,-1,-0.92,0.7,0.74
8.848320e-03,-1,-1.08,0.7,0.7
8.848480e-03,-1,-0.92,0.74,0.74
8.848640e-03,-1,-1.08,0.74,0.7
8.848800e-03,-1,-0.92,0.7,0.74
8.848960e-03,-1,-1.08,0.7,0.7
8.849120e-03,-1.08,-0.92,0.7,0.74
8.849280e-03,-1,-1.08,0.74,0.7
8.849440e-03,-1,-0.92,0.7,0.74
8.849600e-03,-1,-1.08,0.7,0.7
8.849760e-03,-1,-0.92,0.74,0.74
8.849920e-03,-1,-1.08,0.74,0.7
8.850080e-03,-1,-0.92,0.74,0.74
8.850240e-03,-0.92,-1,0.7,0.7
8.850400e-03,-1,-0.92,0.74,0.74
8.850560e-03,-1,-1.08,0.7,0.7
8.850720e-03,-1,-0.92,0.7,0.74
8.850880e-03,-1,-1.08,0.7,0.7
8.851040e-03,-1,-0.92,0.7,0.74
8.851200e-03,-1,-1.08,0.7,0.7
8.851360e-03,-1,-0.92,0.74,0.74
8.851520e-03,-1,-1.08,0.74,0.7
8.851680e-03,-1,-0.92,0.7,0.74
8.851840e-03,-1,-1.08,0.74,0.7
8.852000e-03,-1,-0.92,0.7,0.74
8.852160e-03,-1,-1,0.74,0.7
8.852320e-03,-1,-0.92,0.74,0.74
8.852480e-03,-1,-1,0.74,0.7
8.852640e-03,-1,-0.92,0.74,0.74
8.852800e-03,-1,-1,0.7,0.7
8.852960e-03,-1,-0.92,0.74,0.74
8.853120e-03,-1,-1.08,0.7,0.7
8.853280e-03,-1,-0.92,0.7,0.74
8.853440e-03,-1,-1.08,0.74,0.7
8.853600e-03,-1,-0.92,0.74,0.74
8.853760e-03,-1,-1.08,0.7,0.7
8.853920e-03,-1,-0.92,0.7,0.74
8.854080e-03,-1,-1,0.7,0.7
8.854240e-03,-1,-0.92,0.74,0.74
8.854400e-03,-1,-1,0.7,0.7
8.854560e-03,-1,-0.92,0.74,0.74
8.854720e-03,-1,-1,0.7,0.7
8.854880e-03,-1,-0.92,0.7,0.74
8.855040e-03,-1,-1,0.74,0.7
8.855200e-03,-1,-0.92,0.7,0.74
