vdc_idx,ring_idx,B_g,r_pi,mu_sigma_left,mu_sigma_right,fsr_local,frac_shift,delta_wn_cm_inv,success,note
3,13,4019.9999999999995,718.3447901497668,702.6971016896107,731.3299526007279,54190.80468750012,0.3788491708582704,0.23356915589289173,True,ok
3,14,4019.9999999999995,755.1225345748944,758.8407512221071,767.0190235153692,51679.46384749992,0.12073361244577237,0.0744350261687869,True,ok
3,15,4019.9999999999995,788.5997121926387,770.8155918289165,801.5918531362122,48505.161040000035,0.498841992998194,0.30754746793970034,True,ok
3,16,4019.9999999999995,818.7763230029998,812.2901542146604,833.8534118506042,63192.59210000001,0.28085742838848066,0.17315501133691777,True,ok
3,17,4019.9999999999995,823.4914184421186,828.6474411649417,838.3268219139135,55449.142962500104,0.14549619461196311,0.08970172294202411,True,ok
3,18,4019.9999999999995,856.4970865159511,854.6502958170886,868.3964372426553,47594.08855749993,0.24882548225379972,0.1534065858531441,True,ok
3,19,4019.9999999999995,883.8446400628408,886.8823493390476,893.1541399359877,52530.50959250005,0.10626221030644004,0.06551307663775588,True,ok
3,20,4019.9999999999995,895.1608691167262,891.2157833278205,896.7540632301606,49708.80828749994,0.09960284513270279,0.06140742609907693,True,ok
3,21,4019.9999999999995,901.2904931875808,891.8899651957852,900.9176398013179,47418.89941250009,0.17065857589233543,0.10521490498910939,True,ok
3,22,4019.9999999999995,906.0055886266997,900.899297816124,909.1738028239824,56474.043925000005,0.1326048029757455,0.08175388592832644,True,ok
4,0,5970.0,42.59890372489062,41.52613119016657,45.49583340469452,4180.917397499999,0.041312857050387675,0.025470318773358615,True,ok
4,1,5970.0,51.542319976525114,45.08901809781148,55.31312873508244,3338.973247499999,0.15371831119156507,0.09477084537087858,True,ok
4,2,5970.0,59.07361787263837,54.83315962853052,69.01361008264341,4382.9839935,0.20034330314640592,0.12351621648976936,True,ok
4,3,5970.0,64.25138517621623,46.44369007534524,71.21294482831864,5689.326811500001,0.25611704687237685,0.15790200177088584,True,ok
4,4,5970.0,77.43115649441444,68.12151681764017,89.87674976644375,4776.925230000002,0.3597804999602132,0.22181288530222762,True,ok
4,5,5970.0,83.55033603500647,69.21613800463872,83.30557763532107,21495.277278,0.04998645695714559,0.030817790972346232,True,ok
4,6,5970.0,88.72810333858433,70.96218636028426,93.96352660822596,20603.2596075,0.09206097753197655,0.05675769268309281,True,ok
4,7,5970.0,99.08363794574007,82.78766693911,103.28663778193622,18658.368621,0.10221503885347341,0.06301790311558163,True,ok
4,8,5970.0,103.79069913081085,88.07978165451372,103.74809472531983,17703.4267035,0.08488806357000103,0.052335427601726894,True,ok
4,9,5970.0,168.7481434847877,153.18316990407527,186.4820246171531,55734.48708749999,0.10146735490446795,0.06255693890534399,True,ok
4,10,5970.0,178.63297197343633,175.12253114230327,196.38372503930282,52300.68434100001,0.07551207643026502,0.046554917651211475,True,ok
4,11,5970.0,188.517800462085,185.52094919623903,206.28542546070298,48671.461925999996,0.08357725292080984,0.05152728293514786,True,ok
4,12,5970.0,290.190322059614,299.41545359399674,308.13148694572556,50416.50195899997,0.0525165292188594,0.032377638236041555,True,ok
4,13,5970.0,366.9154193762678,349.15281726675613,384.51603306014755,53108.95072500003,0.24426099104596527,0.15059247290133493,True,ok
4,14,5970.0,433.28498208576593,415.6356629583325,450.99887875172425,52138.499309999985,0.293899754673433,0.1811959030045826,True,ok
4,15,5970.0,489.76971630661535,472.2168082277595,507.58002402115125,54419.72482799995,0.3183475010394804,0.19626849632520368,True,ok
4,16,5970.0,542.4888015794081,554.004829186637,560.3889680182072,51623.1408644999,0.06890751507226447,0.042483054915082905,True,ok
4,17,5970.0,588.1472950745947,570.290793361434,606.1255186987365,53409.39184800006,0.3946548908942234,0.24331374284477397,True,ok
4,18,5970.0,631.9229640957531,614.141180945239,648.8723365484774,54701.11142550007,0.4009600341010509,0.2472010074605739,True,ok
4,19,5970.0,673.8158086428831,657.8837194610412,691.468746146775,58885.13072249992,0.384800356302709,0.2372381974739266,True,ok
4,20,5970.0,716.1793593085201,699.1510170515219,733.9046050988592,54646.163491500134,0.4556936988712997,0.2809455603398888,True,ok
4,21,5970.0,753.3651426705794,,,51472.034045999986,,,False,frac_shift=0.518 out of range
4,22,5970.0,786.785277084582,771.9346111367621,804.6310366856208,52933.914967499906,0.486909586779685,0.3001908673117663,True,ok
4,23,5970.0,819.7347053800775,805.3146328032652,809.8398861622019,55908.19345950009,0.06536594155420893,0.04029959405314976,True,ok
4,24,5970.0,853.1548397940801,835.7746441384711,840.7448718538503,44017.28329049994,0.09465240856376998,0.05835536902821824,True,ok
4,25,5970.0,878.5729701934623,869.2410823726638,883.6740294128489,56410.25805000006,0.2242476089359119,0.1382537662983427,True,ok
4,26,5970.0,884.6921497340543,894.2595164127266,900.6718566409512,45620.52220350015,0.12614619577339498,0.07777200725856656,True,ok
4,27,5970.0,899.7547455262809,895.6258910384912,902.2411922206305,50746.63269149978,0.11718444762154333,0.07224688509342991,True,ok
4,28,5970.0,910.1102801334366,897.5910306157848,924.0637013614169,51321.81348449981,0.4698203615351551,0.28965497012031755,True,ok
5,0,7350.0,48.71808326548264,46.091563234389014,52.35151187794487,4686.083887500001,0.06575304767385279,0.040538253806321076,True,ok
5,1,7350.0,53.42514445055343,52.34807962202101,58.92865246568074,4205.289465,0.08706471307172306,0.05367738167183912,True,ok
5,2,7350.0,58.13220563562422,56.60057942614773,59.10807167594502,3680.1821925000004,0.03941904648963864,0.024302741362292626,True,ok
5,3,7350.0,84.02104215351355,67.18647397412889,79.65463282904928,9272.463862499997,0.09872447459507998,0.06086589062581996,True,ok
5,4,7350.0,92.49375228664096,78.68838304451332,97.07323421932986,7776.905175,0.2077530266170966,0.12808448003520134,True,ok
5,5,7350.0,99.55434406424713,81.8069058687153,107.03082150102796,6420.931965,0.3709139833077224,0.22867693175568582,True,ok
